xAccl,yAccl,zAccl,xGyro,yGyro,zGyro,temp
-0.011971,-1.345541,8.585608,-0.187323,-0.431936,0.174266,30.41235
-0.56982,0.1652,11.28627,0.058888,0.029711,-0.115112,30.27118
-3.974375,-3.078943,3.904943,0.135629,0.006395,-0.07008,30.22412
1.321599,0.169988,10.46266,-0.120041,-0.085401,0.02185,30.36529
-3.782839,-2.86586,3.052607,0.216234,0.064484,-0.06102,30.22412
1.819593,-0.766145,8.588001,-0.399827,-0.268594,0.181061,30.27118
-2.825158,-1.831564,6.327875,0.251008,0.285115,-0.162276,30.31824
-3.359065,-3.971981,3.124433,0.184259,0.028778,-0.040236,30.36529
0.78051,0.004788,10.63026,-0.173334,-0.048629,0.089398,30.31824
-2.664747,-3.057395,4.187459,0.255404,-0.042368,-0.017587,30.36529
1.355118,0.196325,10.04128,-0.075675,-0.055158,0.041302,30.27118
-3.632004,-3.560178,3.593697,0.022383,-0.034507,0.037971,30.41235
1.953669,-0.622492,10.42196,-0.136162,-0.231822,0.141092,30.36529
-3.009511,-2.70066,2.772486,0.377844,0.091663,-0.076475,30.31824
0.624887,0.253785,10.06522,-0.075675,0.081538,0.001066,30.31824
-2.530671,-2.47321,4.582502,0.134564,-0.149485,0.019851,30.36529
0.840365,-0.02873,10.17536,0.010792,0.005729,-0.008793,30.31824
-3.210624,-3.598485,3.081338,-0.080472,-0.078473,0.102855,30.22412
1.398214,0.37589,11.18332,0.141891,0.061553,-0.038237,30.27118
-3.569755,-3.452439,3.007117,0.230357,0.059021,-0.101389,30.22412
1.024718,-1.034295,11.21205,-0.326683,-0.298971,0.212237,30.27118
-3.842694,-2.336741,4.675876,0.413417,0.182527,-0.099657,30.45941
0.948104,-0.54109,9.107543,-0.320288,-0.279786,0.133098,30.31824
-3.667917,-3.679888,3.699042,0.33481,0.255538,-0.051294,30.27118
1.015141,-1.254562,10.2831,-0.240083,-0.32162,0.135496,30.41235
-2.20506,-1.407791,3.615245,0.453786,0.120708,-0.155081,30.36529
0.682348,-1.323994,11.82975,-0.23502,-0.236352,0.179862,30.36529
-4.072537,-2.44448,4.211401,0.36945,0.153882,-0.062352,30.41235
1.000776,0.237026,9.564836,-0.233821,-0.225294,0.133364,30.36529
-3.928885,-3.77805,3.349488,0.220897,0.176665,-0.00866,30.36529
0.337582,-1.687912,9.890448,-0.313893,-0.447524,0.149485,30.41235
-1.889025,-1.596933,7.927202,0.459781,0.159478,-0.221031,30.36529
0.428562,-1.249773,9.232041,-0.439397,-0.412084,0.241948,30.41235
-5.0374,-2.442086,4.955997,0.488293,0.227293,-0.104453,30.41235
-0.380678,-3.387795,7.860164,-0.37438,-0.34387,0.108317,30.36529
-3.699042,-1.520318,6.01184,0.338674,0.310695,-0.154548,30.31824
-0.962469,-2.676718,4.407725,-0.291776,-0.328815,0.150018,30.36529
-1.939303,-1.510741,8.319851,0.365853,0.241015,-0.16907,30.36529
